LAST SEEN   TYPE      REASON                   OBJECT                                           MESSAGE
15m         Normal    Created                  pod/hdfs-datanode-0                              Created container hdfs-datanode
15m         Normal    Started                  pod/hdfs-datanode-0                              Started container hdfs-datanode
168m        Normal    SuccessfulCreate         statefulset/hdfs-datanode                        create Pod hdfs-datanode-0 in StatefulSet hdfs-datanode successful
150m        Normal    SuccessfulCreate         statefulset/hdfs-datanode                        create Pod hdfs-datanode-0 in StatefulSet hdfs-datanode successful
61m         Normal    SuccessfulCreate         statefulset/hdfs-datanode                        create Pod hdfs-datanode-0 in StatefulSet hdfs-datanode successful
36m         Normal    SuccessfulDelete         statefulset/hdfs-datanode                        delete Pod hdfs-datanode-0 in StatefulSet hdfs-datanode successful
16m         Normal    SuccessfulCreate         statefulset/hdfs-datanode                        create Pod hdfs-datanode-0 in StatefulSet hdfs-datanode successful
3h36m       Normal    TaintManagerEviction     pod/hdfs-namenode-0                              Marking for deletion Pod openshift-metering/hdfs-namenode-0
168m        Normal    Scheduled                pod/hdfs-namenode-0                              Successfully assigned openshift-metering/hdfs-namenode-0 to ip-10-0-130-174.us-west-2.compute.internal
168m        Normal    SuccessfulAttachVolume   pod/hdfs-namenode-0                              AttachVolume.Attach succeeded for volume "pvc-9f00f0f0-ca87-11e9-a248-0698e01dcbf2"
167m        Normal    Pulling                  pod/hdfs-namenode-0                              Pulling image "quay.io/openshift/origin-metering-hadoop:4.1"
167m        Normal    Pulled                   pod/hdfs-namenode-0                              Successfully pulled image "quay.io/openshift/origin-metering-hadoop:4.1"
167m        Normal    Created                  pod/hdfs-namenode-0                              Created container hdfs-namenode
167m        Normal    Started                  pod/hdfs-namenode-0                              Started container hdfs-namenode
153m        Normal    Killing                  pod/hdfs-namenode-0                              Stopping container hdfs-namenode
150m        Normal    TaintManagerEviction     pod/hdfs-namenode-0                              Cancelling deletion of Pod openshift-metering/hdfs-namenode-0
150m        Normal    Scheduled                pod/hdfs-namenode-0                              Successfully assigned openshift-metering/hdfs-namenode-0 to ip-10-0-142-130.us-west-2.compute.internal
150m        Warning   FailedAttachVolume       pod/hdfs-namenode-0                              Multi-Attach error for volume "pvc-9f00f0f0-ca87-11e9-a248-0698e01dcbf2" Volume is already exclusively attached to one node and can't be attached to another
150m        Normal    SuccessfulAttachVolume   pod/hdfs-namenode-0                              AttachVolume.Attach succeeded for volume "pvc-9f00f0f0-ca87-11e9-a248-0698e01dcbf2"
149m        Normal    Pulling                  pod/hdfs-namenode-0                              Pulling image "quay.io/openshift/origin-metering-hadoop:4.1"
149m        Normal    Pulled                   pod/hdfs-namenode-0                              Successfully pulled image "quay.io/openshift/origin-metering-hadoop:4.1"
149m        Normal    Created                  pod/hdfs-namenode-0                              Created container hdfs-namenode
149m        Normal    Started                  pod/hdfs-namenode-0                              Started container hdfs-namenode
139m        Normal    Killing                  pod/hdfs-namenode-0                              Stopping container hdfs-namenode
136m        Normal    TaintManagerEviction     pod/hdfs-namenode-0                              Cancelling deletion of Pod openshift-metering/hdfs-namenode-0
136m        Normal    Scheduled                pod/hdfs-namenode-0                              Successfully assigned openshift-metering/hdfs-namenode-0 to ip-10-0-130-174.us-west-2.compute.internal
134m        Normal    SuccessfulAttachVolume   pod/hdfs-namenode-0                              AttachVolume.Attach succeeded for volume "pvc-9f00f0f0-ca87-11e9-a248-0698e01dcbf2"
134m        Warning   FailedMount              pod/hdfs-namenode-0                              Unable to mount volumes for pod "hdfs-namenode-0_openshift-metering(486998a7-cb53-11e9-8779-02fdb1202f5a)": timeout expired waiting for volumes to attach or mount for pod "openshift-metering"/"hdfs-namenode-0". list of unmounted volumes=[hdfs-namenode-data]. list of unattached volumes=[hdfs-namenode-data hdfs-config datanode-empty hadoop-logs hdfs-token-zvls6]
133m        Normal    Pulling                  pod/hdfs-namenode-0                              Pulling image "quay.io/openshift/origin-metering-hadoop:4.1"
133m        Normal    Pulled                   pod/hdfs-namenode-0                              Successfully pulled image "quay.io/openshift/origin-metering-hadoop:4.1"
133m        Normal    Created                  pod/hdfs-namenode-0                              Created container hdfs-namenode
133m        Normal    Started                  pod/hdfs-namenode-0                              Started container hdfs-namenode
62m         Normal    Killing                  pod/hdfs-namenode-0                              Stopping container hdfs-namenode
61m         Normal    Scheduled                pod/hdfs-namenode-0                              Successfully assigned openshift-metering/hdfs-namenode-0 to ip-10-0-143-52.us-west-2.compute.internal
60m         Normal    SuccessfulAttachVolume   pod/hdfs-namenode-0                              AttachVolume.Attach succeeded for volume "pvc-9f00f0f0-ca87-11e9-a248-0698e01dcbf2"
60m         Normal    Pulling                  pod/hdfs-namenode-0                              Pulling image "quay.io/openshift/origin-metering-hadoop:4.1"
