LAST SEEN   TYPE      REASON                   OBJECT                                           MESSAGE
142m        Normal    Pulled                   pod/presto-coordinator-5548fcbdc6-p8xqh          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
142m        Normal    Created                  pod/presto-coordinator-5548fcbdc6-p8xqh          Created container presto
142m        Normal    Started                  pod/presto-coordinator-5548fcbdc6-p8xqh          Started container presto
80m         Normal    Killing                  pod/presto-coordinator-5548fcbdc6-p8xqh          Stopping container presto
143m        Normal    SuccessfulCreate         replicaset/presto-coordinator-5548fcbdc6         Created pod: presto-coordinator-5548fcbdc6-p8xqh
80m         Normal    SuccessfulCreate         replicaset/presto-coordinator-5548fcbdc6         Created pod: presto-coordinator-5548fcbdc6-hz5t4
40m         Normal    SuccessfulDelete         replicaset/presto-coordinator-5548fcbdc6         Deleted pod: presto-coordinator-5548fcbdc6-hz5t4
29m         Normal    Scheduled                pod/presto-coordinator-849b6ccbc6-5rt6p          Successfully assigned openshift-metering/presto-coordinator-849b6ccbc6-5rt6p to ip-10-0-152-91.us-west-2.compute.internal
29m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-5rt6p          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
29m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-5rt6p          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
29m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-5rt6p          Created container copy-presto-config
29m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-5rt6p          Started container copy-presto-config
29m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-5rt6p          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
29m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-5rt6p          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
29m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-5rt6p          Created container presto
29m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-5rt6p          Started container presto
28m         Normal    Killing                  pod/presto-coordinator-849b6ccbc6-5rt6p          Stopping container presto
32m         Normal    Scheduled                pod/presto-coordinator-849b6ccbc6-bxrjf          Successfully assigned openshift-metering/presto-coordinator-849b6ccbc6-bxrjf to ip-10-0-152-91.us-west-2.compute.internal
32m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-bxrjf          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
32m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-bxrjf          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
32m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-bxrjf          Created container copy-presto-config
32m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-bxrjf          Started container copy-presto-config
32m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-bxrjf          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
32m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-bxrjf          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
32m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-bxrjf          Created container presto
32m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-bxrjf          Started container presto
30m         Normal    Killing                  pod/presto-coordinator-849b6ccbc6-bxrjf          Stopping container presto
21m         Normal    Scheduled                pod/presto-coordinator-849b6ccbc6-cxln6          Successfully assigned openshift-metering/presto-coordinator-849b6ccbc6-cxln6 to ip-10-0-152-91.us-west-2.compute.internal
21m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-cxln6          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
21m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-cxln6          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
21m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-cxln6          Created container copy-presto-config
21m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-cxln6          Started container copy-presto-config
21m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-cxln6          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
21m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-cxln6          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
21m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-cxln6          Created container presto
21m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-cxln6          Started container presto
20m         Normal    Killing                  pod/presto-coordinator-849b6ccbc6-cxln6          Stopping container presto
34m         Normal    Scheduled                pod/presto-coordinator-849b6ccbc6-mmw6k          Successfully assigned openshift-metering/presto-coordinator-849b6ccbc6-mmw6k to ip-10-0-152-91.us-west-2.compute.internal
34m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-mmw6k          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
34m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-mmw6k          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
34m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-mmw6k          Created container copy-presto-config
34m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-mmw6k          Started container copy-presto-config
34m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-mmw6k          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
34m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-mmw6k          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
34m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-mmw6k          Created container presto
34m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-mmw6k          Started container presto
33m         Normal    Killing                  pod/presto-coordinator-849b6ccbc6-mmw6k          Stopping container presto
41m         Normal    Scheduled                pod/presto-coordinator-849b6ccbc6-pv4mq          Successfully assigned openshift-metering/presto-coordinator-849b6ccbc6-pv4mq to ip-10-0-152-91.us-west-2.compute.internal
41m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-pv4mq          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
40m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-pv4mq          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
40m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-pv4mq          Created container copy-presto-config
40m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-pv4mq          Started container copy-presto-config
40m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-pv4mq          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
40m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-pv4mq          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
40m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-pv4mq          Created container presto
40m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-pv4mq          Started container presto
36m         Normal    Killing                  pod/presto-coordinator-849b6ccbc6-pv4mq          Stopping container presto
24m         Normal    Scheduled                pod/presto-coordinator-849b6ccbc6-qr4dn          Successfully assigned openshift-metering/presto-coordinator-849b6ccbc6-qr4dn to ip-10-0-152-91.us-west-2.compute.internal
24m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-qr4dn          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
24m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-qr4dn          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
24m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-qr4dn          Created container copy-presto-config
24m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-qr4dn          Started container copy-presto-config
24m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-qr4dn          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
24m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-qr4dn          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
24m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-qr4dn          Created container presto
24m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-qr4dn          Started container presto
22m         Normal    Killing                  pod/presto-coordinator-849b6ccbc6-qr4dn          Stopping container presto
16m         Normal    Scheduled                pod/presto-coordinator-849b6ccbc6-slp6n          Successfully assigned openshift-metering/presto-coordinator-849b6ccbc6-slp6n to ip-10-0-152-91.us-west-2.compute.internal
16m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-slp6n          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
16m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-slp6n          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
16m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-slp6n          Created container copy-presto-config
16m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-slp6n          Started container copy-presto-config
16m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-slp6n          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
16m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-slp6n          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
16m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-slp6n          Created container presto
16m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-slp6n          Started container presto
27m         Normal    Scheduled                pod/presto-coordinator-849b6ccbc6-slt92          Successfully assigned openshift-metering/presto-coordinator-849b6ccbc6-slt92 to ip-10-0-152-91.us-west-2.compute.internal
26m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-slt92          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
26m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-slt92          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
26m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-slt92          Created container copy-presto-config
26m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-slt92          Started container copy-presto-config
26m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-slt92          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
26m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-slt92          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
26m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-slt92          Created container presto
26m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-slt92          Started container presto
25m         Normal    Killing                  pod/presto-coordinator-849b6ccbc6-slt92          Stopping container presto
19m         Normal    Scheduled                pod/presto-coordinator-849b6ccbc6-v5rpp          Successfully assigned openshift-metering/presto-coordinator-849b6ccbc6-v5rpp to ip-10-0-152-91.us-west-2.compute.internal
19m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-v5rpp          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
19m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-v5rpp          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
19m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-v5rpp          Created container copy-presto-config
19m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-v5rpp          Started container copy-presto-config
18m         Normal    Pulling                  pod/presto-coordinator-849b6ccbc6-v5rpp          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
18m         Normal    Pulled                   pod/presto-coordinator-849b6ccbc6-v5rpp          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
18m         Normal    Created                  pod/presto-coordinator-849b6ccbc6-v5rpp          Created container presto
18m         Normal    Started                  pod/presto-coordinator-849b6ccbc6-v5rpp          Started container presto
17m         Normal    Killing                  pod/presto-coordinator-849b6ccbc6-v5rpp          Stopping container presto
41m         Normal    SuccessfulCreate         replicaset/presto-coordinator-849b6ccbc6         Created pod: presto-coordinator-849b6ccbc6-pv4mq
36m         Normal    SuccessfulDelete         replicaset/presto-coordinator-849b6ccbc6         Deleted pod: presto-coordinator-849b6ccbc6-pv4mq
34m         Normal    SuccessfulCreate         replicaset/presto-coordinator-849b6ccbc6         Created pod: presto-coordinator-849b6ccbc6-mmw6k
33m         Normal    SuccessfulDelete         replicaset/presto-coordinator-849b6ccbc6         Deleted pod: presto-coordinator-849b6ccbc6-mmw6k
32m         Normal    SuccessfulCreate         replicaset/presto-coordinator-849b6ccbc6         Created pod: presto-coordinator-849b6ccbc6-bxrjf
30m         Normal    SuccessfulDelete         replicaset/presto-coordinator-849b6ccbc6         Deleted pod: presto-coordinator-849b6ccbc6-bxrjf
29m         Normal    SuccessfulCreate         replicaset/presto-coordinator-849b6ccbc6         Created pod: presto-coordinator-849b6ccbc6-5rt6p
28m         Normal    SuccessfulDelete         replicaset/presto-coordinator-849b6ccbc6         Deleted pod: presto-coordinator-849b6ccbc6-5rt6p
27m         Normal    SuccessfulCreate         replicaset/presto-coordinator-849b6ccbc6         Created pod: presto-coordinator-849b6ccbc6-slt92
25m         Normal    SuccessfulDelete         replicaset/presto-coordinator-849b6ccbc6         Deleted pod: presto-coordinator-849b6ccbc6-slt92
24m         Normal    SuccessfulCreate         replicaset/presto-coordinator-849b6ccbc6         Created pod: presto-coordinator-849b6ccbc6-qr4dn
22m         Normal    SuccessfulDelete         replicaset/presto-coordinator-849b6ccbc6         Deleted pod: presto-coordinator-849b6ccbc6-qr4dn
21m         Normal    SuccessfulCreate         replicaset/presto-coordinator-849b6ccbc6         Created pod: presto-coordinator-849b6ccbc6-cxln6
20m         Normal    SuccessfulDelete         replicaset/presto-coordinator-849b6ccbc6         Deleted pod: presto-coordinator-849b6ccbc6-cxln6
19m         Normal    SuccessfulCreate         replicaset/presto-coordinator-849b6ccbc6         Created pod: presto-coordinator-849b6ccbc6-v5rpp
17m         Normal    SuccessfulDelete         replicaset/presto-coordinator-849b6ccbc6         Deleted pod: presto-coordinator-849b6ccbc6-v5rpp
16m         Normal    SuccessfulCreate         replicaset/presto-coordinator-849b6ccbc6         Created pod: presto-coordinator-849b6ccbc6-slp6n
41m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled up replica set presto-coordinator-849b6ccbc6 to 1
40m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled down replica set presto-coordinator-5548fcbdc6 to 0
36m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled down replica set presto-coordinator-849b6ccbc6 to 0
34m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled up replica set presto-coordinator-849b6ccbc6 to 1
33m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled down replica set presto-coordinator-849b6ccbc6 to 0
32m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled up replica set presto-coordinator-849b6ccbc6 to 1
30m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled down replica set presto-coordinator-849b6ccbc6 to 0
29m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled up replica set presto-coordinator-849b6ccbc6 to 1
28m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled down replica set presto-coordinator-849b6ccbc6 to 0
27m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled up replica set presto-coordinator-849b6ccbc6 to 1
25m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled down replica set presto-coordinator-849b6ccbc6 to 0
24m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled up replica set presto-coordinator-849b6ccbc6 to 1
22m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled down replica set presto-coordinator-849b6ccbc6 to 0
21m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled up replica set presto-coordinator-849b6ccbc6 to 1
20m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled down replica set presto-coordinator-849b6ccbc6 to 0
19m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled up replica set presto-coordinator-849b6ccbc6 to 1
17m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled down replica set presto-coordinator-849b6ccbc6 to 0
16m         Normal    ScalingReplicaSet        deployment/presto-coordinator                    Scaled up replica set presto-coordinator-849b6ccbc6 to 1
3h36m       Normal    TaintManagerEviction     pod/reporting-operator-5dbdd7f978-9kqbm          Marking for deletion Pod openshift-metering/reporting-operator-5dbdd7f978-9kqbm
143m        Normal    Scheduled                pod/reporting-operator-5dbdd7f978-9kvg4          Successfully assigned openshift-metering/reporting-operator-5dbdd7f978-9kvg4 to ip-10-0-130-174.us-west-2.compute.internal
142m        Normal    Pulling                  pod/reporting-operator-5dbdd7f978-9kvg4          Pulling image "quay.io/openshift/origin-metering-reporting-operator:4.1"
142m        Normal    Pulled                   pod/reporting-operator-5dbdd7f978-9kvg4          Successfully pulled image "quay.io/openshift/origin-metering-reporting-operator:4.1"
142m        Normal    Created                  pod/reporting-operator-5dbdd7f978-9kvg4          Created container reporting-operator
142m        Normal    Started                  pod/reporting-operator-5dbdd7f978-9kvg4          Started container reporting-operator
142m        Normal    Pulling                  pod/reporting-operator-5dbdd7f978-9kvg4          Pulling image "openshift/oauth-proxy:v1.1.0"
142m        Normal    Pulled                   pod/reporting-operator-5dbdd7f978-9kvg4          Successfully pulled image "openshift/oauth-proxy:v1.1.0"
142m        Normal    Created                  pod/reporting-operator-5dbdd7f978-9kvg4          Created container reporting-operator-auth-proxy
142m        Normal    Started                  pod/reporting-operator-5dbdd7f978-9kvg4          Started container reporting-operator-auth-proxy
79m         Warning   Unhealthy                pod/reporting-operator-5dbdd7f978-9kvg4          Readiness probe failed: HTTP probe failed with statuscode: 500
79m         Warning   Unhealthy                pod/reporting-operator-5dbdd7f978-9kvg4          Liveness probe failed: HTTP probe failed with statuscode: 500
62m         Normal    Killing                  pod/reporting-operator-5dbdd7f978-9kvg4          Stopping container reporting-operator-auth-proxy
62m         Normal    Killing                  pod/reporting-operator-5dbdd7f978-9kvg4          Stopping container reporting-operator
62m         Normal    Scheduled                pod/reporting-operator-5dbdd7f978-b2k9g          Successfully assigned openshift-metering/reporting-operator-5dbdd7f978-b2k9g to ip-10-0-142-130.us-west-2.compute.internal
62m         Normal    Pulling                  pod/reporting-operator-5dbdd7f978-b2k9g          Pulling image "quay.io/openshift/origin-metering-reporting-operator:4.1"
62m         Normal    Pulled                   pod/reporting-operator-5dbdd7f978-b2k9g          Successfully pulled image "quay.io/openshift/origin-metering-reporting-operator:4.1"
62m         Normal    Created                  pod/reporting-operator-5dbdd7f978-b2k9g          Created container reporting-operator
62m         Normal    Started                  pod/reporting-operator-5dbdd7f978-b2k9g          Started container reporting-operator
62m         Normal    Pulling                  pod/reporting-operator-5dbdd7f978-b2k9g          Pulling image "openshift/oauth-proxy:v1.1.0"
61m         Normal    Pulled                   pod/reporting-operator-5dbdd7f978-b2k9g          Successfully pulled image "openshift/oauth-proxy:v1.1.0"
61m         Normal    Created                  pod/reporting-operator-5dbdd7f978-b2k9g          Created container reporting-operator-auth-proxy
61m         Normal    Started                  pod/reporting-operator-5dbdd7f978-b2k9g          Started container reporting-operator-auth-proxy
39m         Normal    Killing                  pod/reporting-operator-5dbdd7f978-b2k9g          Stopping container reporting-operator
39m         Normal    Killing                  pod/reporting-operator-5dbdd7f978-b2k9g          Stopping container reporting-operator-auth-proxy
144m        Normal    Killing                  pod/reporting-operator-5dbdd7f978-v495k          Stopping container reporting-operator
144m        Normal    Killing                  pod/reporting-operator-5dbdd7f978-v495k          Stopping container reporting-operator-auth-proxy
143m        Normal    SuccessfulCreate         replicaset/reporting-operator-5dbdd7f978         Created pod: reporting-operator-5dbdd7f978-9kvg4
62m         Normal    SuccessfulCreate         replicaset/reporting-operator-5dbdd7f978         Created pod: reporting-operator-5dbdd7f978-b2k9g
39m         Normal    SuccessfulDelete         replicaset/reporting-operator-5dbdd7f978         Deleted pod: reporting-operator-5dbdd7f978-b2k9g
21m         Normal    Scheduled                pod/reporting-operator-746569cd7f-4whjd          Successfully assigned openshift-metering/reporting-operator-746569cd7f-4whjd to ip-10-0-148-140.us-west-2.compute.internal
21m         Normal    Pulling                  pod/reporting-operator-746569cd7f-4whjd          Pulling image "quay.io/openshift/origin-metering-reporting-operator:4.1"
21m         Normal    Pulled                   pod/reporting-operator-746569cd7f-4whjd          Successfully pulled image "quay.io/openshift/origin-metering-reporting-operator:4.1"
21m         Normal    Created                  pod/reporting-operator-746569cd7f-4whjd          Created container reporting-operator
21m         Normal    Started                  pod/reporting-operator-746569cd7f-4whjd          Started container reporting-operator
21m         Normal    Pulling                  pod/reporting-operator-746569cd7f-4whjd          Pulling image "openshift/oauth-proxy:v1.1.0"
21m         Normal    Pulled                   pod/reporting-operator-746569cd7f-4whjd          Successfully pulled image "openshift/oauth-proxy:v1.1.0"
21m         Normal    Created                  pod/reporting-operator-746569cd7f-4whjd          Created container reporting-operator-auth-proxy
21m         Normal    Started                  pod/reporting-operator-746569cd7f-4whjd          Started container reporting-operator-auth-proxy
20m         Normal    Killing                  pod/reporting-operator-746569cd7f-4whjd          Stopping container reporting-operator
20m         Normal    Killing                  pod/reporting-operator-746569cd7f-4whjd          Stopping container reporting-operator-auth-proxy
27m         Normal    Scheduled                pod/reporting-operator-746569cd7f-6tx2z          Successfully assigned openshift-metering/reporting-operator-746569cd7f-6tx2z to ip-10-0-148-140.us-west-2.compute.internal
27m         Warning   FailedMount              pod/reporting-operator-746569cd7f-6tx2z          MountVolume.SetUp failed for volume "api-tls" : secrets "reporting-operator-api-tls-secrets" not found
26m         Normal    Pulling                  pod/reporting-operator-746569cd7f-6tx2z          Pulling image "quay.io/openshift/origin-metering-reporting-operator:4.1"
26m         Normal    Pulled                   pod/reporting-operator-746569cd7f-6tx2z          Successfully pulled image "quay.io/openshift/origin-metering-reporting-operator:4.1"
26m         Normal    Created                  pod/reporting-operator-746569cd7f-6tx2z          Created container reporting-operator
26m         Normal    Started                  pod/reporting-operator-746569cd7f-6tx2z          Started container reporting-operator
26m         Normal    Pulling                  pod/reporting-operator-746569cd7f-6tx2z          Pulling image "openshift/oauth-proxy:v1.1.0"
26m         Normal    Pulled                   pod/reporting-operator-746569cd7f-6tx2z          Successfully pulled image "openshift/oauth-proxy:v1.1.0"
26m         Normal    Created                  pod/reporting-operator-746569cd7f-6tx2z          Created container reporting-operator-auth-proxy
26m         Normal    Started                  pod/reporting-operator-746569cd7f-6tx2z          Started container reporting-operator-auth-proxy
25m         Normal    Killing                  pod/reporting-operator-746569cd7f-6tx2z          Stopping container reporting-operator
25m         Normal    Killing                  pod/reporting-operator-746569cd7f-6tx2z          Stopping container reporting-operator-auth-proxy
34m         Normal    Scheduled                pod/reporting-operator-746569cd7f-bj2bp          Successfully assigned openshift-metering/reporting-operator-746569cd7f-bj2bp to ip-10-0-148-140.us-west-2.compute.internal
33m         Warning   FailedMount              pod/reporting-operator-746569cd7f-bj2bp          MountVolume.SetUp failed for volume "api-tls" : secrets "reporting-operator-api-tls-secrets" not found
34m         Normal    Pulling                  pod/reporting-operator-746569cd7f-bj2bp          Pulling image "quay.io/openshift/origin-metering-reporting-operator:4.1"
34m         Normal    Pulled                   pod/reporting-operator-746569cd7f-bj2bp          Successfully pulled image "quay.io/openshift/origin-metering-reporting-operator:4.1"
34m         Normal    Created                  pod/reporting-operator-746569cd7f-bj2bp          Created container reporting-operator
34m         Normal    Started                  pod/reporting-operator-746569cd7f-bj2bp          Started container reporting-operator
34m         Normal    Pulling                  pod/reporting-operator-746569cd7f-bj2bp          Pulling image "openshift/oauth-proxy:v1.1.0"
34m         Normal    Pulled                   pod/reporting-operator-746569cd7f-bj2bp          Successfully pulled image "openshift/oauth-proxy:v1.1.0"
34m         Normal    Created                  pod/reporting-operator-746569cd7f-bj2bp          Created container reporting-operator-auth-proxy
34m         Normal    Started                  pod/reporting-operator-746569cd7f-bj2bp          Started container reporting-operator-auth-proxy
33m         Warning   Unhealthy                pod/reporting-operator-746569cd7f-bj2bp          Readiness probe failed: HTTP probe failed with statuscode: 500
33m         Warning   FailedMount              pod/reporting-operator-746569cd7f-bj2bp          MountVolume.SetUp failed for volume "metrics-tls" : secrets "reporting-operator-metrics-tls-secrets" not found
33m         Normal    Killing                  pod/reporting-operator-746569cd7f-bj2bp          Stopping container reporting-operator
33m         Normal    Killing                  pod/reporting-operator-746569cd7f-bj2bp          Stopping container reporting-operator-auth-proxy
41m         Normal    Scheduled                pod/reporting-operator-746569cd7f-dxrhv          Successfully assigned openshift-metering/reporting-operator-746569cd7f-dxrhv to ip-10-0-148-140.us-west-2.compute.internal
41m         Normal    Pulling                  pod/reporting-operator-746569cd7f-dxrhv          Pulling image "quay.io/openshift/origin-metering-reporting-operator:4.1"
40m         Normal    Pulled                   pod/reporting-operator-746569cd7f-dxrhv          Successfully pulled image "quay.io/openshift/origin-metering-reporting-operator:4.1"
40m         Normal    Created                  pod/reporting-operator-746569cd7f-dxrhv          Created container reporting-operator
40m         Normal    Started                  pod/reporting-operator-746569cd7f-dxrhv          Started container reporting-operator
40m         Normal    Pulling                  pod/reporting-operator-746569cd7f-dxrhv          Pulling image "openshift/oauth-proxy:v1.1.0"
40m         Normal    Pulled                   pod/reporting-operator-746569cd7f-dxrhv          Successfully pulled image "openshift/oauth-proxy:v1.1.0"
40m         Normal    Created                  pod/reporting-operator-746569cd7f-dxrhv          Created container reporting-operator-auth-proxy
40m         Normal    Started                  pod/reporting-operator-746569cd7f-dxrhv          Started container reporting-operator-auth-proxy
36m         Warning   FailedMount              pod/reporting-operator-746569cd7f-dxrhv          MountVolume.SetUp failed for volume "metrics-tls" : secrets "reporting-operator-metrics-tls-secrets" not found
35m         Warning   Unhealthy                pod/reporting-operator-746569cd7f-dxrhv          Liveness probe failed: HTTP probe failed with statuscode: 500
35m         Normal    Killing                  pod/reporting-operator-746569cd7f-dxrhv          Stopping container reporting-operator
35m         Normal    Killing                  pod/reporting-operator-746569cd7f-dxrhv          Stopping container reporting-operator-auth-proxy
16m         Normal    Scheduled                pod/reporting-operator-746569cd7f-gj7pd          Successfully assigned openshift-metering/reporting-operator-746569cd7f-gj7pd to ip-10-0-134-21.us-west-2.compute.internal
16m         Normal    Pulling                  pod/reporting-operator-746569cd7f-gj7pd          Pulling image "quay.io/openshift/origin-metering-reporting-operator:4.1"
16m         Normal    Pulled                   pod/reporting-operator-746569cd7f-gj7pd          Successfully pulled image "quay.io/openshift/origin-metering-reporting-operator:4.1"
16m         Normal    Created                  pod/reporting-operator-746569cd7f-gj7pd          Created container reporting-operator
16m         Normal    Started                  pod/reporting-operator-746569cd7f-gj7pd          Started container reporting-operator
16m         Normal    Pulling                  pod/reporting-operator-746569cd7f-gj7pd          Pulling image "openshift/oauth-proxy:v1.1.0"
16m         Normal    Pulled                   pod/reporting-operator-746569cd7f-gj7pd          Successfully pulled image "openshift/oauth-proxy:v1.1.0"
16m         Normal    Created                  pod/reporting-operator-746569cd7f-gj7pd          Created container reporting-operator-auth-proxy
16m         Normal    Started                  pod/reporting-operator-746569cd7f-gj7pd          Started container reporting-operator-auth-proxy
24m         Normal    Scheduled                pod/reporting-operator-746569cd7f-n4dfk          Successfully assigned openshift-metering/reporting-operator-746569cd7f-n4dfk to ip-10-0-134-21.us-west-2.compute.internal
22m         Warning   FailedMount              pod/reporting-operator-746569cd7f-n4dfk          MountVolume.SetUp failed for volume "api-tls" : secrets "reporting-operator-api-tls-secrets" not found
22m         Warning   FailedMount              pod/reporting-operator-746569cd7f-n4dfk          MountVolume.SetUp failed for volume "metrics-tls" : secrets "reporting-operator-metrics-tls-secrets" not found
24m         Normal    Pulling                  pod/reporting-operator-746569cd7f-n4dfk          Pulling image "quay.io/openshift/origin-metering-reporting-operator:4.1"
24m         Normal    Pulled                   pod/reporting-operator-746569cd7f-n4dfk          Successfully pulled image "quay.io/openshift/origin-metering-reporting-operator:4.1"
24m         Normal    Created                  pod/reporting-operator-746569cd7f-n4dfk          Created container reporting-operator
24m         Normal    Started                  pod/reporting-operator-746569cd7f-n4dfk          Started container reporting-operator
